contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,Symbol,Stock_Price,Expiry,Data_Date,mid_price,IV,Time_Bisect,Time_Newton,Parity_Price,Delta_An,Delta_Num,Gamma_An,Gamma_Num,Vega,Moneyness
TSLA260213C00295000,2026-02-12 15:18:18+00:00,295.0,135.05,119.45,122.5,2.9600067,2.2409015,4.0,14,2.706057922363281,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,120.975,0.5,0.03962993621826172,0.0004413127899169922,-0.27826493569193644,1.0,0.9999999999990905,5.298953043186244e-105,5565.298713839297,4.590369874630827e-103,1.410983017743644
TSLA260213C00300000,2026-02-12 16:37:14+00:00,300.0,116.05,115.7,117.0,-12.569992,-9.772969,23.0,106,1.71484517578125,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,116.35,0.5,0.007263898849487305,0.0003514289855957031,0.09651006937048123,1.0,0.9999999999990905,3.4349202335011506e-95,-1930.2013874090562,2.975598053637891e-93,1.3874666341145834
TSLA260213C00305000,2026-02-11 15:04:15+00:00,305.0,114.94,109.9,112.75,-9.059998,-7.3064494,6.0,24,1.5625021874999998,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,111.325,0.5,0.006833553314208984,0.00035452842712402344,0.0712850744328648,1.0,0.9999999999990905,5.09145450286991e-86,-1425.7014886575803,4.410618319798169e-84,1.3647212794569672
TSLA260213C00310000,2026-02-10 18:15:41+00:00,310.0,115.92,104.9,107.45,0.0,0.0,1.0,94,2.355961141357421,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,106.17500000000001,0.5,0.04358792304992676,0.0006766319274902344,-0.07893992050469478,1.0,0.9999999999990905,1.8430019830822708e-77,1578.7984100938957,1.5965532649707573e-75,1.3427096459173387
TSLA260213C00315000,2026-02-12 15:02:45+00:00,315.0,112.78,99.8,102.45,0.9300003,0.831471,2.0,108,2.249027814941406,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,101.125,0.5,0.056986331939697266,0.0003871917724609375,-0.12916491544228847,1.0,0.9999999999990905,1.7334546211539102e-69,2583.2983088457695,1.501654724458525e-67,1.3213967943948413
TSLA260213C00320000,2026-02-12 16:27:04+00:00,320.0,101.11,95.65,97.1,14.830002,17.188227,1.0,29,1.4570339648437498,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,96.375,0.5,0.006859540939331055,0.00038433074951171875,0.1206100896201292,1.0,0.9999999999990905,4.492034914420021e-62,-2412.201792402584,3.891353929519769e-60,1.3007499694824218
TSLA260213C00322500,2026-02-06 15:32:15+00:00,322.5,87.62,92.05,94.95,0.0,0.0,20.0,5,2.090825085449218,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,93.5,0.5,0.04141378402709961,0.0003905296325683594,-0.25450240784863354,1.0,0.9999999999990905,1.434919804613467e-58,5090.048156972671,1.243040387398523e-56,1.290666636385659
TSLA260213C00325000,2026-02-12 19:11:51+00:00,325.0,90.15,89.75,92.45,-13.849998,-13.3173065,2.0,22,2.038579122314453,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,91.1,0.5,0.057494163513183594,0.000415802001953125,-0.15461490531743038,1.0,0.9999999999990905,3.389690135845975e-55,3092.298106349176,2.9364161858215865e-53,1.2807384314903847
TSLA260213C00330000,2026-02-10 16:55:49+00:00,330.0,84.98,84.65,87.7,-9.519997,-10.07407,14.0,83,2.0156299609375,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,86.17500000000001,0.5,0.035582542419433594,0.0003783702850341797,-0.07983990025502408,1.0,0.9999999999990905,7.848770539539279e-49,1596.7980051004815,6.799222326364883e-47,1.2613333037405303
TSLA260213C00335000,2026-02-12 17:42:02+00:00,335.0,83.5,79.95,82.85,5.790001,7.4507804,1.0,30,1.2636755566406248,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,81.4,0.5,0.008142948150634766,0.00036907196044921875,0.1449351048073595,1.0,0.9999999999990905,5.8599014269370295e-43,-2898.7020961477583,5.076307481740503e-41,1.2425074335354478
