contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,Symbol,Stock_Price,Expiry,Data_Date
TSLA260213C00395000,2026-02-12 19:22:56+00:00,395.0,21.18,21.15,21.35,-12.849998,-37.760796,76.0,563,0.340826904296875,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00397500,2026-02-12 19:24:51+00:00,397.5,19.05,18.55,18.95,-10.970001,-36.54231,28.0,461,0.3549869189453124,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00400000,2026-02-12 19:25:07+00:00,400.0,16.95,16.65,16.9,-12.049999,-41.55172,5995.0,2000,0.42383388671875,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00402500,2026-02-12 19:24:01+00:00,402.5,14.9,14.25,14.4,-11.58,-43.731117,262.0,395,0.37476211181640623,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00405000,2026-02-12 19:25:35+00:00,405.0,12.35,11.95,12.1,-11.65,-48.541668,2725.0,1532,0.3544986425781249,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00407500,2026-02-12 19:24:41+00:00,407.5,10.56,10.4,10.55,-11.0199995,-51.065804,2624.0,2749,0.40906352661132805,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00410000,2026-02-12 19:26:03+00:00,410.0,8.16,8.15,8.35,-11.370001,-58.218132,25093.0,3986,0.3717103845214844,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00412500,2026-02-12 19:25:10+00:00,412.5,6.9,6.65,6.8,-10.24,-59.743294,5987.0,5948,0.38147591186523433,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00415000,2026-02-12 19:26:01+00:00,415.0,5.15,5.15,5.2,-9.85,-65.10245,21793.0,6462,0.36914693359375,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00417500,2026-02-12 19:25:20+00:00,417.5,4.13,4.05,4.15,-8.67,-67.734375,16557.0,3724,0.3846497082519531,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00420000,2026-02-12 19:26:02+00:00,420.0,2.9,2.93,2.95,-7.94,-73.24723,60355.0,10290,0.370123486328125,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00422500,2026-02-12 19:25:12+00:00,422.5,2.24,2.21,2.24,-6.8100004,-75.24863,16731.0,5623,0.3803772900390625,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00425000,2026-02-12 19:25:35+00:00,425.0,1.58,1.57,1.59,-5.9,-78.87701,35937.0,5409,0.3803772900390625,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00427500,2026-02-12 19:25:57+00:00,427.5,1.09,1.08,1.1,-4.71,-81.06712,21239.0,7120,0.3806214282226562,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00430000,2026-02-12 19:25:30+00:00,430.0,0.77,0.76,0.77,-3.8000002,-83.150986,71825.0,9013,0.3852600537109374,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00432500,2026-02-12 19:25:33+00:00,432.5,0.52,0.51,0.52,-2.98,-85.14286,32905.0,6514,0.3881897119140625,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00435000,2026-02-12 19:25:34+00:00,435.0,0.35,0.35,0.36,-2.27,-86.64123,77066.0,11123,0.39453730468750003,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00437500,2026-02-12 19:23:38+00:00,437.5,0.24,0.22,0.24,-1.7,-87.62886,26797.0,6427,0.39893179199218753,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00440000,2026-02-12 19:24:10+00:00,440.0,0.16,0.15,0.17,-1.27,-88.811195,51097.0,14869,0.40820904296875,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00442500,2026-02-12 19:26:09+00:00,442.5,0.11,0.1,0.11,-0.90999997,-88.34952,16624.0,8849,0.41211525390625,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00445000,2026-02-12 19:22:47+00:00,445.0,0.07,0.07,0.08,-0.66,-90.41096,23246.0,9235,0.422857333984375,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00447500,2026-02-12 19:19:58+00:00,447.5,0.05,0.05,0.07,-0.49,-90.74074,10783.0,4124,0.445318046875,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00450000,2026-02-12 19:23:49+00:00,450.0,0.04,0.04,0.05,-0.35,-89.74359,29849.0,26226,0.45313046875,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00452500,2026-02-12 19:20:37+00:00,452.5,0.03,0.03,0.04,-0.25,-89.28571,6871.0,4452,0.4687553125,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00455000,2026-02-12 19:24:22+00:00,455.0,0.03,0.03,0.04,-0.17999999,-81.818184,18144.0,8447,0.49609878906250005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00457500,2026-02-12 19:21:21+00:00,457.5,0.03,0.02,0.03,-0.13,-81.25,1776.0,3728,0.5039112109375,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00460000,2026-02-12 19:03:48+00:00,460.0,0.02,0.02,0.03,-0.09,-81.818184,5293.0,6269,0.5195360546875,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00462500,2026-02-12 19:15:56+00:00,462.5,0.01,0.01,0.02,-0.07,-87.5,1264.0,3401,0.51562984375,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00465000,2026-02-12 19:20:37+00:00,465.0,0.01,0.01,0.02,-0.060000002,-85.71429,1040.0,6496,0.5390671093750001,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00467500,2026-02-12 18:11:24+00:00,467.5,0.02,0.01,0.02,-0.04,-66.66667,1616.0,1019,0.5625043750000001,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00470000,2026-02-12 18:37:21+00:00,470.0,0.02,0.01,0.02,-0.01,-33.333336,575.0,6127,0.585941640625,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00472500,2026-02-12 19:21:18+00:00,472.5,0.01,0.0,0.01,-0.02,-66.66667,702.0,3029,0.5468795312500001,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00475000,2026-02-12 18:37:25+00:00,475.0,0.01,0.0,0.01,-0.02,-66.66667,971.0,2797,0.57812921875,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00477500,2026-02-12 18:37:06+00:00,477.5,0.01,0.0,0.01,-0.01,-50.0,756.0,473,0.5937540625000001,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00480000,2026-02-12 18:37:13+00:00,480.0,0.01,0.0,0.01,-0.01,-50.0,1483.0,2607,0.6250037500000001,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00482500,2026-02-12 18:55:32+00:00,482.5,0.01,0.0,0.01,0.0,0.0,1125.0,686,0.64062859375,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00485000,2026-02-12 17:15:16+00:00,485.0,0.01,0.0,0.01,-0.01,-50.0,186.0,885,0.6562534375000001,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00487500,2026-02-12 16:05:19+00:00,487.5,0.01,0.0,0.01,0.0,0.0,35.0,386,0.6718782812500002,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00490000,2026-02-12 19:04:06+00:00,490.0,0.01,0.0,0.01,0.0,0.0,26.0,1062,0.6875031250000001,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00492500,2026-02-12 14:33:23+00:00,492.5,0.01,0.0,0.01,0.0,0.0,1.0,345,0.7187528125,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00495000,2026-02-11 20:29:25+00:00,495.0,0.01,0.0,0.01,0.0,0.0,1.0,625,0.73437765625,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00497500,2026-02-11 15:57:07+00:00,497.5,0.01,0.0,0.01,0.0,0.0,30.0,257,0.7500025,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00500000,2026-02-12 19:26:04+00:00,500.0,0.01,0.0,0.0,0.0,0.0,197.0,4187,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00502500,2026-02-10 16:07:31+00:00,502.5,0.01,0.0,0.01,0.0,0.0,12.0,188,0.79687703125,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00505000,2026-02-12 15:01:56+00:00,505.0,0.01,0.0,0.0,0.0,0.0,1.0,953,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00507500,2026-02-12 17:27:14+00:00,507.5,0.01,0.0,0.01,0.0,0.0,10.0,120,0.8437515624999999,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00510000,2026-02-12 18:46:08+00:00,510.0,0.01,0.0,0.0,0.0,0.0,108.0,918,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00512500,2026-02-12 17:27:16+00:00,512.5,0.01,0.0,0.0,0.0,0.0,5.0,310,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00515000,2026-02-12 17:36:12+00:00,515.0,0.01,0.0,0.0,0.0,0.0,1.0,940,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00517500,2026-02-12 15:43:13+00:00,517.5,0.01,0.0,0.0,0.0,0.0,10.0,1055,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00520000,2026-02-12 16:14:32+00:00,520.0,0.01,0.0,0.0,0.0,0.0,1.0,1993,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00525000,2026-02-10 17:02:45+00:00,525.0,0.01,0.0,0.0,0.0,0.0,11.0,658,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00530000,2026-02-12 14:31:03+00:00,530.0,0.01,0.0,0.0,0.0,0.0,1.0,2919,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00535000,2026-02-12 14:32:26+00:00,535.0,0.01,0.0,0.0,0.0,0.0,1.0,165,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00540000,2026-02-11 17:05:00+00:00,540.0,0.01,0.0,0.0,0.0,0.0,14.0,987,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00545000,2026-02-11 20:55:05+00:00,545.0,0.01,0.0,0.0,0.0,0.0,32.0,173,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00550000,2026-02-12 14:30:00+00:00,550.0,0.01,0.0,0.0,0.0,0.0,1.0,1073,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00555000,2026-02-09 16:22:25+00:00,555.0,0.01,0.0,0.0,0.0,0.0,2.0,402,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00560000,2026-02-11 18:44:50+00:00,560.0,0.01,0.0,0.0,0.0,0.0,20.0,326,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00565000,2026-02-09 15:58:49+00:00,565.0,0.01,0.0,0.0,0.0,0.0,24.0,150,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00570000,2026-02-06 18:40:55+00:00,570.0,0.01,0.0,0.0,0.0,0.0,33.0,594,0.500005,False,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
